Model,Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1,Time_s
efficientnet_b0,41,0.13998669,0.0037396,0.1362471,5.72412157,4.35919666,2.76088524,5.64901557,4.30813217,2.49314928,0.96013612,0.96056917,387.9
efficientnet_b0,42,0.14510017,0.00373865,0.14136152,4.80941971,3.56804991,0.40837464,5.066359,3.79048729,0.55536693,0.96256684,0.96246139,384.4
efficientnet_b0,43,0.13525291,0.00418086,0.13107205,5.49796327,4.05355549,2.10413742,5.76681647,4.31167793,2.0429678,0.9577054,0.95743789,384.3
efficientnet_b0,44,0.14952647,0.00354203,0.14598443,5.38628339,4.10550594,1.29286253,5.63296098,4.30341768,1.65187657,0.95819154,0.95895934,387.1
efficientnet_b0,45,0.12344548,0.00305353,0.12039195,4.90697906,3.57212234,-0.45480171,4.86730369,3.60943222,-0.25140384,0.95964998,0.9599512,393.2
efficientnet_b0,46,0.14460394,0.00358187,0.14102207,5.48253355,4.05376101,0.98099834,5.73902675,4.29179144,1.22876322,0.95624696,0.9562963,402.4
efficientnet_b0,47,0.1417222,0.00324702,0.13847518,5.16283131,3.85259056,0.93220228,5.61972952,4.22520399,1.27223039,0.95673311,0.9569746,392.6
efficientnet_b0,48,0.12539809,0.00303608,0.12236201,4.70567096,3.40385675,0.46513399,4.89212608,3.60572505,0.39888191,0.96305299,0.96305556,388.8
efficientnet_b0,49,0.1588825,0.00386614,0.15501636,5.68681952,4.25272226,1.94084108,5.66834496,4.24446392,1.64027488,0.95916383,0.95899237,388.5
efficientnet_b0,50,0.1572202,0.00379413,0.15342607,4.98179574,3.58821154,0.06225352,5.14088138,3.83890128,-0.85067719,0.96353913,0.96363366,387.9
mobilenetv2_100,1,2.16178787,0.0571376,2.10465027,15.76630055,12.04426575,-1.93728554,15.84284323,12.16415024,-2.75097418,0.43801653,0.39654441,396.6
mobilenetv2_100,2,1.57792953,0.02998809,1.54794145,12.31932351,9.68541527,-0.42090803,12.57355374,9.95972729,0.8534956,0.60913952,0.59886869,390.3
mobilenetv2_100,3,1.29711931,0.02241226,1.27470705,11.98780776,9.2878046,2.38331699,12.11520525,9.58760738,3.48196602,0.70782693,0.70827931,393.8
mobilenetv2_100,4,1.08368748,0.01983095,1.06385653,12.20259857,9.17273235,2.45453072,11.93414291,9.06912899,2.08052158,0.74574623,0.74827066,395.3
mobilenetv2_100,5,0.96586229,0.01621888,0.94964341,12.06260183,8.84485435,-1.11835039,12.17210692,9.04969501,0.47393596,0.78123481,0.7831225,401.6
mobilenetv2_100,6,0.87118966,0.01469109,0.85649857,12.44470803,9.44574547,6.22360277,13.14714928,10.0461998,7.17350578,0.82498785,0.82295354,391.8
mobilenetv2_100,7,0.79881157,0.01445856,0.78435301,10.60803592,7.99569798,3.37394643,10.67276359,8.14142227,3.46548986,0.82207098,0.82238695,399.7
mobilenetv2_100,8,0.70019692,0.01318821,0.68700871,10.75196643,8.14059258,1.00843072,10.7554148,8.29632282,0.06782854,0.83471074,0.83395807,395.8
mobilenetv2_100,9,0.68180786,0.01311103,0.66869683,8.98161473,6.98927975,-1.9606123,9.14534884,7.08362484,-1.68950987,0.88575596,0.88590353,382.7
mobilenetv2_100,10,0.68084625,0.01266336,0.66818288,11.95443467,8.91507435,6.83866453,12.64897734,9.52014256,7.66608715,0.87700535,0.87782333,380.4
mobilenetv2_100,11,0.58371341,0.0110534,0.57266001,9.19027066,6.89282131,1.53892553,9.31394916,7.04413795,1.5998466,0.88964511,0.89071835,386.1
mobilenetv2_100,12,0.56651544,0.01008713,0.55642831,9.65338626,7.11217499,3.58071375,9.65288517,7.11964989,3.18698764,0.91152163,0.91166261,381.0
mobilenetv2_100,13,0.50901606,0.00917862,0.49983744,9.26163679,6.91313839,2.93379164,9.2620812,6.9966321,2.5984776,0.90957705,0.91004634,384.1
